Teacher Name;University Currently Teaching;Department;Province University Located;Designation;Terminal Degree;Graduated from;Country;Year;Area of Specialization/Research Interests;Other Information
Mohammad rahim Shah;Balochistan University of Information Technology, Engineering and Management Sciences;Computer Science;Balochistan;Lecturer;;;;;;
Syed Asad Ullah;Balochistan University of Information Technology, Engineering and Management Sciences;Computer Science;Balochistan;Lecturer;;;;;;
Muhammad Anas;Balochistan University of Information Technology, Engineering and Management Sciences;Computer Science;Balochistan;Lecturer;;;;;;
Khawar Abbas;University of Loralai;Computer Science;Balochistan;Lecturer;MS;;;;;
Masood Ahmed;University of Loralai;Computer Science;Balochistan;Lecturer;MS;;;;;
Najeebullah Shah;University of Loralai;Computer Science;Balochistan;Lecturer;MS;;;;;
Mazhar Mohsin;University of Turbat;Computer Science;Balochistan;Assistant Professor;MS;Asian Institute of Technology;Thailand;;Object Detection, Object Tracking, Pattern Recognition, Human Computer Interaction, Software Engineering, Data Structures and Algorithms, Object Oriented Programming;
Mukhtar Hussain;University of Turbat;Computer Science;Balochistan;Lecturer;MS;SRH Hochschule Heidelberg;Germany;;Semantic Web, Machine Learning;
Rashid Ali;University of Turbat;Computer Science;Balochistan;Lecturer;;;;;;
Shamsa Aziz;University of Turbat;Computer Science;Balochistan;Lecturer;MS;Institute of Business Administration,Karachi;Pakistan;;Semantic Web;
Abdul Hakeem;University of Turbat;Computer Science;Balochistan;Lecturer;MS;;;;Networking;
Bilal-ur-Rehman;University of Turbat;Computer Science;Balochistan;Lecturer;BE;DUET,Karachi;Pakistan;;Computer Graphics, Digital Logic Design, Software Engineering, Operating Systems, Artificial Intelligence;
Balach Khan;University of Turbat;Computer Science;Balochistan;Lecturer;BS;University of Balochistan;Pakistan;;Data Structures & Algorithms, Programming;
Pari Naz;University of Turbat;Computer Science;Balochistan;Lecturer;BS;University of Turbat;Pakistan;;Software Engineering, Theory of Automata and Formal Languages;
Maqsood Karim;University of Turbat;Computer Science;Balochistan;Lecturer;BS;;;;Database, Web Development;
Majid Iqbal Khan;COMSATS, Islamabad Campus;Computer Science;Capital;Head of Department;PhD;University of Vienna;Austria;2009;wireless sensor networks, MANETS and internet of things;
Sohail Asghar;COMSATS, Islamabad Campus;Computer Science;Capital;Professor;PhD;Monash University;Australia;2006;Machine Learning and Data mining, decision support system and business intelligence, big data analytics, outcome based education;
Zulqarnain Jaffery;COMSATS, Islamabad Campus;Computer Science;Capital;Assistant Professor;;;;;;
Ikram ul Haq;COMSATS, Islamabad Campus;Computer Science;Capital;Advisor;;;;;;
Muaz A. Niazi;COMSATS, Islamabad Campus;Computer Science;Capital;Chief Scientific Officer;Phd;University of Stirling;UK;;Complex Communication Networks such as Internet of Things, Online social networks, Wireless Sensor networks etc. Biological Networks Modeling and Simulation, Agent-based Computing.;
Muhammad Manzoor ilahi Tamimy;COMSATS, Islamabad Campus;Computer Science;Capital;Associate Professor;Phd;Chinese Academy of Sciences;China;;"Mining Data Streams, Ubiquitous Data Mining, Intrusion Detection, Distributed Data Mining, Machine learning and data mining, Real-Time system; Publish/Subscribe system; Wireless Sensor Networks, Active databases ECA Rules";
Nasro Min-allah;COMSATS, Islamabad Campus;Computer Science;Capital;Associate Professor;Phd;Chinese Academy of Sciences;China;2008;software pipelining, chromatic scheduling, reliable computing and real-time systems;
M. Masoom Alam;COMSATS, Islamabad Campus;Computer Science;Capital;Associate Professor;Phd;University of Innsbruck;Austria;2007;system administration and research and development;
Sajjad A. Madani;COMSATS, Islamabad Campus;Computer Science;Capital;Associate Professor;Phd;Vienna University of Technology;Austria;;;
Nadeem Javaid;COMSATS, Islamabad Campus;Computer Science;Capital;Associate Professor;PhD;University of Paris-Est;France;2010;Wireless Ad-hoc, Sensor, Vehicular and Body Area Networks;
Khalid Latif;COMSATS, Islamabad Campus;Computer Science;Capital;Associate Professor;;;;;Semantic Web and Information Retrieval.;
Muhammad Asim Noor;COMSATS, Islamabad Campus;Computer Science;Capital;Assistant Professor;;;;;;
Naveed Ahmad;COMSATS, Islamabad Campus;Computer Science;Capital;Assistant Professor;PhD;The University of Cambridge;UK;;modelling and simulating change/business processes, software engineering for mobile applications.;
Mansoor Ahmed;COMSATS, Islamabad Campus;Computer Science;Capital;Assistant Professor;;Vienna University of Technology;Austria;; Information security & privacy, Distributed Computing, Knowledge-Based Systems, Data provenance and Semantic Web Technologies. ;
Abid Khan;COMSATS, Islamabad Campus;Computer Science;Capital;Assistant Professor;;Harbin Institute of Technology;China;;security & privacy of cloud computing(outsourced storage & computation), security protocols, Digital watermarking, Secure Provenance;
Iftikhar Azim Niaz;COMSATS, Islamabad Campus;Computer Science;Capital;Assistant Professor;Phd;;;;;
Sheikh Ziauddin;COMSATS, Islamabad Campus;Computer Science;Capital;Assistant Professor;PostDoc;University of Nice, Sophia Antipolis;France;;Image processing, computer vision, information security;
Amir Hanif Dar;COMSATS, Islamabad Campus;Computer Science;Capital;Assistant Professor;;;;;;
Ahmad R. Shahid;COMSATS, Islamabad Campus;Computer Science;Capital;Assistant Professor;Phd;The University of York;UK;; Natural Language Processing (NLP), which falls under the broader category of Artificial Intelligence. Dr. Shahid is interested in building multilingual, bilingual and monolingual resources using supervised and unsupervised learning approaches. He is also interested in applications of Machine Learning approaches.;
Yasir Faheem;COMSATS, Islamabad Campus;Computer Science;Capital;Assistant Professor;Phd;Galilée - Université Paris 13;France;2012;Routing, medium access control, resource allocation and security related issues in: Internet of Things, cloud computing, Wireless Ad hoc Networks (Sensor networks, vehicular networks, cognitive radio networks, delay tolerant networks) & smart grids. Moreover, I am interested in applications of algorithmic game theory to various problems in wireless networks and global software development.;
Munam Ali Shah;COMSATS, Islamabad Campus;Computer Science;Capital;Assistant Professor;Phd;University of Bedfordshire;UK;2014; MAC protocol design, Internet of Things, and security issues in wireless communication systems;
Malik Ahmad Kamran;COMSATS, Islamabad Campus;Computer Science;Capital;Assistant Professor;Phd;Vienna University of Technology;Austria;2011;Collaborative systems, Social Network Analysis, Information privacy, and Access Control;
Aimal Tariq Rextin;COMSATS, Islamabad Campus;Computer Science;Capital;Assistant Professor;Phd;;;;algorithms, graph theory, visualization and Human Computer Interaction;
Adeel ANJUM;COMSATS, Islamabad Campus;Computer Science;Capital;Assistant Professor;Phd;;;2013;data privacy using artificial intelligence techniques.;
Basit Raza;COMSATS, Islamabad Campus;Computer Science;Capital;Assistant Professor;;;;;;
Saif Ur Rehman Malik;COMSATS, Islamabad Campus;Computer Science;Capital;Assistant Professor;Phd;North Dakota State University;USA;; Formal Methods (verification, modeling, and analysis) of Large Scale Systems, such as Cloud Computing System;
Abdul Wahid;COMSATS, Islamabad Campus;Computer Science;Capital;Assistant Professor;Phd;Kyungpook National University;South Korea;;Vehicular Ad-hoc Network, Wireless Sensor Network, Underwater Wireless Sensor Network, Cyber Physical Systems, Software defined Networking, Information-centric Networking.;
Farhana Jabeen;COMSATS, Islamabad Campus;Computer Science;Capital;Assistant Professor;PhD;The University of Manchester;UK;2011;query processing in wireless sensor network, distributed spatial analysis, distributed computing using ad hoc wireless networks.;
Zara Hamid;COMSATS, Islamabad Campus;Computer Science;Capital;Assistant Professor;PhD;National University of Sciences and Technology;Pakistan;;Wireless Sensor Networks. She is interested in the design and performance evaluation of communication protocols for wireless ad hoc and sensor networks. She is also interested in Information Centric Networks.;
Inayat-ur-Rehman;COMSATS, Islamabad Campus;Computer Science;Capital;Assistant Professor;Phd;;;; Computer Assisted Education, Designing learning tools, Computer Animations for Learning, Role of Human Computer in designing learning tools, cognitive learning and use of Educational Psychology for e-learning applications;
Mukhtar Azeem;COMSATS, Islamabad Campus;Computer Science;Capital;Assistant Professor;;;;;Embedded System Programming and Real-time Systems;
Omer Vikas;COMSATS, Islamabad Campus;Computer Science;Capital;Assistant Professor;;;;;Artificial Intelligence, Information System Management and E-Commerce.;
Salman Aslam;COMSATS, Islamabad Campus;Computer Science;Capital;Assistant Professor;;;;;;
Umar Nauman;COMSATS, Islamabad Campus;Computer Science;Capital;Assistant Professor;MS;FAST– National University of Computer and Emerging Sciences;Pakistan;;Artificial Intelligence, Data Mining, Machine Learning, Software Engineering, Requirement Engineering.;
Ghufran Ahmed;COMSATS, Islamabad Campus;Computer Science;Capital;Assistant Professor;Phd;Capital University of Science & Technology;Pakistan;2013;routing issues on Wireless Sensor Networks or Wireless Body Area Networks.;
Ch.Anwar Shaukat;COMSATS, Islamabad Campus;Computer Science;Capital;Assistant Professor;;;;;;
