,Teacher Name,University Currently Teaching,Department,Province University Located,Designation,Terminal Degree,Graduated from,Country,Year,Area of Specialization/Research Interests,Other Information
173,Rashid Mehmood,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,,
174,Mr. Zaheer ul Hussain Sani,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,,
175,Muhammad Umair Naru,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,,
176,Uzair Iqbal Janjua,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,,
177,Basharat Mahmood,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,,
178,Asif Muhammad Malik,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,,
179,Adeel Javed,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,,
180,Mr.Tehseen Riaz Abbasi,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,,
181,Hasham Ali,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,,
182,Saadia Aziz,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,,
183,Ashfaq Hussain Farooqi,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,Computational Intelligence and Network security. ,
184,Ali Zahir,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,,
185,Afzaal Hassan ,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,,
186,Khuram Iqbal,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,MBA,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Pakistan,2012.0,"Business Intelligence, Information System Management and E-Commerce.",
187,Zulfiqar Ali,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,,
188,Waqar Ali Khan,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,,
189,Sajida Kalsoom,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,"formation security, pattern recognition and computer vision.",
190,Nazia Hameed,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,web development.Her research interest are computer vision and medical image processing. ,
191,Shahela Saif,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,,
192,Saadia Maqbool,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,,
193,Shawana Jamil,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,Machine Learning and Data mining.,
194,Maham Shahid,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,,
195,Numera M I Shahid,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,,
196,Memoona Malik,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,,
197,Najmun Nisa,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,,
198,Sabah Suhail,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,,
199,Saneeha Amir,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,,
